county_fips,max_hourly_des_demand,max_hourly_undes_demand,max_hourly_total_demand,acc_des_demand,acc_undes_demand,acc_total_demand,supply,max_hourly_des_deficit,max_hourly_total_deficit,acc_des_deficit,acc_total_deficit,diagnosis
18039,439.91155435179684,41.83596914584816,480.0994398646267,6851.083662456905,672.9252249277633,7524.008887384668,674,0.0,0.0,0.0,0.0,Typical/Other
18041,0.0,2.3319732785569736,2.3319732785569736,0.0,15.014634968954566,15.014634968954566,0,0.0,2.3319732785569736,0.0,15.014634968954566,No Supply
18043,7.153482914973585,5.3337372611645115,12.487220176138097,140.475997827376,54.02762096308989,194.5036187904659,86,0.0,0.0,0.0,0.0,Typical/Other
18045,0.0,7.4253336604254425,7.4253336604254425,0.0,69.10822351671551,69.10822351671551,0,0.0,7.4253336604254425,0.0,69.10822351671551,No Supply
18047,1.4916567877361604,3.1521803816311302,4.64383716936729,15.451312763531158,9.653552418745333,25.10486518227649,15,0.0,0.0,0.0,0.0,Typical/Other
18049,13.24462465081296,1.7168957880683495,14.062194073702651,188.0409672646283,16.964565524961046,205.00553278958935,50,0.0,0.0,0.0,0.0,Typical/Other
18051,255.0292662646787,6.362144162801956,257.9066178960967,4440.776625635757,75.25873044842109,4516.035356084179,380,0.0,0.0,0.0,0.0,Typical/Other
18053,96.93610756457645,9.39577095811224,100.89706983123163,1791.3682139451937,97.15104350152713,1888.5192574467208,149,0.0,0.0,0.0,0.0,Typical/Other
18055,4.815235131070164,5.15570630195391,9.265679721907734,77.28695579061097,79.5972958787507,156.88425166936167,43,0.0,0.0,0.0,0.0,Typical/Other
18057,10.432305672801775,13.420726568656455,18.20220000202398,155.77823106209735,110.08255881821026,265.8607898803076,40,0.0,0.0,0.0,0.0,Typical/Other
18059,321.0836892528272,27.80909876078201,348.8927880136092,5166.220881357621,367.4596937144281,5533.680575072049,540,0.0,0.0,0.0,0.0,Typical/Other
18061,0.0,5.959998114769595,5.959998114769595,0.0,67.08462994298795,67.08462994298795,0,0.0,5.959998114769595,0.0,67.08462994298795,No Supply
18063,390.66451017719277,42.00228052226522,431.71416165668495,7490.825272565177,539.231339529658,8030.056612094835,409,0.0,22.71416165668495,0.0,91.81451417065716,High Stress
18065,351.37399722839035,8.5548737047246,355.66979217883147,6135.6802560954575,104.01698371452764,6239.697239809985,449,0.0,0.0,0.0,0.0,Elevated
18067,0.0,6.770015438869836,6.770015438869836,0.0,70.14488218606797,70.14488218606797,0,0.0,6.770015438869836,0.0,70.14488218606797,No Supply
18069,30.149655183082114,7.314242995704744,33.89316537773413,470.3288616096275,70.43558412399129,540.7644457336188,130,0.0,0.0,0.0,0.0,Typical/Other
18071,134.8233974903798,14.813214488213399,147.82353624696225,2321.0069690425353,167.34303242153533,2488.350001464071,189,0.0,0.0,0.0,0.0,Elevated
18073,567.2300472241147,24.294850764730946,585.9655357417811,9623.78134373934,270.30757382380796,9894.088917563147,869,0.0,0.0,0.0,0.0,Typical/Other
18075,8.482465712038204,2.8940177135189162,8.482465712038204,141.65717739103803,15.51792256731695,157.175099958355,30,0.0,0.0,0.0,0.0,Typical/Other
18077,0.0,5.976023483671516,5.976023483671516,0.0,36.871674304483065,36.871674304483065,0,0.0,5.976023483671516,0.0,36.871674304483065,No Supply
18079,0.0,3.351413742800965,3.351413742800965,0.0,26.72752459883765,26.72752459883765,0,0.0,3.351413742800965,0.0,26.72752459883765,No Supply
18081,400.8252164615195,19.696690919886883,415.2922648791039,7267.785698456826,210.0654530364113,7477.851151493238,480,0.0,0.0,0.0,0.0,Elevated
18083,10.02544713349746,4.771146527387344,11.837274928707838,158.112172262026,44.32938672281399,202.44155898484001,35,0.0,0.0,0.0,0.0,Typical/Other
18085,0.0,21.32894359120929,21.32894359120929,0.0,186.0766458129639,186.0766458129639,0,0.0,21.32894359120929,0.0,186.0766458129639,No Supply
18087,79.48370711586922,7.3725282670592165,84.71863842975742,1428.5691311324747,75.42663534760584,1503.9957664800806,110,0.0,0.0,0.0,0.0,Elevated
18089,1259.5174837448574,97.99225583812725,1289.6853123984538,21286.700726847943,1227.8604110815645,22514.561137929508,1826,0.0,0.0,0.0,0.0,Typical/Other
18091,321.32756430879215,13.841037719775093,330.07145340721297,5174.973378353534,258.3798508467002,5433.353229200234,693,0.0,0.0,0.0,0.0,Typical/Other
18093,1.1895962487005198,3.8803496683802656,4.191910590658973,19.231806020658375,24.924873782296594,44.15667980295497,20,0.0,0.0,0.0,0.0,Typical/Other
18095,65.15669237222555,11.850863368479773,74.44832260081961,1224.535417049282,178.0165682257439,1402.551985275026,160,0.0,0.0,0.0,0.0,Typical/Other
18097,229.1398377488624,94.70149001824795,288.6446772554495,4434.978858593234,1231.6416949594318,5666.620553552665,305,0.0,0.0,0.0,0.0,Elevated
18099,128.27232265783363,16.734487265018963,141.65228855765514,2293.196548722122,251.36038502399796,2544.5569337461197,199,0.0,0.0,0.0,0.0,Typical/Other
18101,4.423423548426146,4.341508297529363,7.945779336987704,50.459794552416724,22.69052449840817,73.15031905082489,6,0.0,1.9457793369877043,0.0,5.489490322840961,Typical/Other
18103,66.43362676800999,1.537815434444674,67.97144220245465,1133.9851013595035,8.765547976334643,1142.750649335838,117,0.0,0.0,0.0,0.0,Typical/Other
