county_fips,max_hourly_des_demand,max_hourly_undes_demand,max_hourly_total_demand,acc_des_demand,acc_undes_demand,acc_total_demand,supply,supply_small,supply_medium,supply_large,max_hourly_des_deficit,max_hourly_total_deficit,acc_des_deficit,acc_total_deficit,diagnosis
18029,40.0917416818715,13.6608897582673,51.84350088385919,738.7062499097838,125.11168912152269,863.8179390313064,85,10,75,0,0.0,0.0,0.0,0.0,Typical/Other
18031,171.35,10.6856004036326,176.67550958627567,3097.855842583242,106.1297981836527,3203.985640766895,149,0,149,0,22.349999999999994,27.675509586275666,131.686831483346,181.1725731584216,High Stress
18033,89.1948627561339,16.0160887642437,96.04384808294867,1506.5660338891928,201.2021151008122,1707.768148990005,123,40,83,0,0.0,0.0,0.0,0.0,Elevated
18035,296.240308186829,7.35016089395684,301.71689865683607,5125.079834313705,96.99329963986182,5222.073133953567,355,30,205,120,0.0,0.0,0.0,0.0,Elevated
18037,21.3670797662902,9.22490159651646,23.8112844628031,383.1882201629905,85.3106284395795,468.49884860257,20,20,0,0,1.3670797662901997,3.8112844628031013,7.046508354727802,31.596676148999656,Elevated
18039,374.7539337133,55.8133721457578,430.5673058590578,5831.418396097059,837.004401616435,6668.422797713494,653,123,130,400,0.0,0.0,0.0,0.0,Typical/Other
18041,0.0,2.9691698900407,2.9691698900407,0.0,9.114661057799369,9.114661057799369,0,0,0,0,0.0,2.9691698900407,0.0,9.114661057799369,No Supply
18043,4.39831418353114,3.37509525889021,7.77340944242135,69.99122883028888,51.48165664126194,121.47288547155082,30,30,0,0,0.0,0.0,0.0,0.0,Typical/Other
18045,0.0,10.8518129786356,10.8518129786356,0.0,80.79714781723524,80.79714781723524,0,0,0,0,0.0,10.8518129786356,0.0,80.79714781723524,No Supply
18047,1.40028563437795,2.99661125756882,4.396896891946771,12.29450786983842,11.594365052649454,23.888872922487874,15,15,0,0,0.0,0.0,0.0,0.0,Typical/Other
18049,14.5204072935701,4.81317121987421,15.288896816071023,207.69440516011798,23.33781339384385,231.03221855396183,50,0,50,0,0.0,0.0,0.0,0.0,Typical/Other
18051,253.0,5.8076774691358,254.68373842592592,4402.756365740731,56.68586033950609,4459.442226080237,220,0,120,100,33.0,34.683738425925924,208.78674768518204,223.7451774691326,High Stress
18053,137.177505050614,7.4391271719422,143.06268121330606,2565.837618571435,101.93257364932349,2667.7701922207584,149,85,64,0,0.0,0.0,0.0,0.0,High Stress
18055,4.88781921928211,10.8365604396487,12.20060301247161,37.47328068116278,137.99564028391808,175.46892096508086,18,18,0,0,0.0,0.0,0.0,0.0,Typical/Other
18057,10.8175181806643,15.9888195548356,19.8409113947795,161.89339404038188,130.3379019816634,292.2312960220453,20,20,0,0,0.0,0.0,0.0,0.0,Typical/Other
18059,428.949999999999,25.8808694859642,451.8205568720375,7301.6109825009,345.6386210353619,7647.249603536262,373,0,175,198,55.94999999999902,78.82055687203751,314.98986511118807,504.06333394093514,High Stress
18061,0.0,7.05323557557181,7.05323557557181,0.0,63.99312115326481,63.99312115326481,0,0,0,0,0.0,7.05323557557181,0.0,63.99312115326481,No Supply
18063,426.65,88.6046006247211,512.4749977688532,7863.839170013375,1236.8471173583214,9100.686287371696,371,121,150,100,55.64999999999998,141.4749977688532,388.12460508701,1207.0429540383698,High Stress
18065,383.95538575302,8.04130427747438,387.4692330003197,6592.551814811244,103.79364176639197,6696.3454565776365,399,120,139,140,0.0,0.0,0.0,0.0,High Stress
18067,0.0,12.4006793758383,12.4006793758383,0.0,93.3792537482311,93.3792537482311,0,0,0,0,0.0,12.4006793758383,0.0,93.3792537482311,No Supply
18069,34.4307858436908,6.56437412347003,38.80703525933745,565.340632231592,85.20815038700302,650.548782618595,120,20,0,100,0.0,0.0,0.0,0.0,Typical/Other
18071,194.35,16.504207920792,206.7466584158408,3195.895544554448,184.0996287128707,3379.995173267319,169,9,0,160,25.349999999999994,37.74665841584081,131.86150990098602,232.92363861385655,High Stress
18073,783.613072017963,33.1195474758529,810.8947269087865,13012.662572030486,377.974927760137,13390.637499790622,927,64,315,548,0.0,0.0,0.0,0.0,Elevated
18075,8.53035342533103,0.0,8.53035342533103,159.21560275229658,0.0,159.21560275229658,30,30,0,0,0.0,0.0,0.0,0.0,Typical/Other
18077,0.0,4.86377955782917,4.86377955782917,0.0,31.06186490340902,31.06186490340902,0,0,0,0,0.0,4.86377955782917,0.0,31.06186490340902,No Supply
18079,9.2,1.48387096774193,10.23870967741934,163.3494623655913,12.98387096774191,176.33333333333323,8,8,0,0,1.1999999999999993,2.2387096774193402,8.46236559139783,12.890322580645128,Typical/Other
18081,555.756489921021,27.2229219651536,575.7701795871022,10153.558090350865,257.1651521609367,10410.723242511802,520,0,50,470,35.75648992102094,55.770179587102234,161.79403293987593,282.60870394174196,High Stress
18083,16.5613728839873,3.82668085576979,18.69427696753112,190.89491547717148,50.3114433824159,241.20635885958737,35,35,0,0,0.0,0.0,0.0,0.0,Typical/Other
18085,0.0,18.297042141578,18.297042141578,0.0,173.84738369059227,173.84738369059227,0,0,0,0,0.0,18.297042141578,0.0,173.84738369059227,No Supply
18087,126.5,3.51643703166545,129.40488276528885,2130.1046652163354,48.34336475707023,2178.4480299734055,110,60,50,0,16.5,19.404882765288846,81.607928450565,101.29997582789152,High Stress
18089,1582.16708094702,95.3765658011486,1620.7909643366806,27161.062851105926,1197.531214542873,28358.5940656488,1611,121,170,1320,0.0,9.790964336680645,0.0,16.968977889852113,High Stress
18091,331.803628819837,33.2302260292946,363.9297423015346,5257.071620981708,506.5027270767396,5763.574348058448,669,132,80,457,0.0,0.0,0.0,0.0,Typical/Other
18093,4.05769492251054,8.94866648089378,12.53537895704148,39.05531362916386,65.35787178758045,104.41318541674431,23,23,0,0,0.0,0.0,0.0,0.0,Typical/Other
18095,78.6630416076086,15.0374114120212,92.818862735843,1498.4012229117573,263.39398850168465,1761.7952114134418,100,0,0,100,0.0,0.0,0.0,0.0,Elevated
18097,125.098846825585,90.9071912049672,181.5100056536673,2526.6314537692983,1403.9885177392139,3930.619971508512,168,68,0,100,0.0,13.510005653667292,0.0,102.679230191215,Elevated
18099,117.6291479753,3.93295775614778,120.16871498355542,2060.8024420884735,49.0383647080826,2109.840806796556,135,76,59,0,0.0,0.0,0.0,0.0,Elevated
18101,0.0,4.64145956190111,4.64145956190111,0.0,25.992173546646182,25.992173546646182,0,0,0,0,0.0,4.64145956190111,0.0,25.992173546646182,No Supply
18103,84.0301561900192,2.12411921612788,84.20008572730946,1448.5643406305737,8.921300707737105,1457.4856413383109,97,17,80,0,0.0,0.0,0.0,0.0,Elevated
18105,9.22404151500808,18.0441104089209,27.268151923928983,122.6730192725892,122.47103296204136,245.14405223463055,18,18,0,0,0.0,9.268151923928983,0.0,20.71171654135851,Typical/Other
18107,118.449999999999,7.50135705669481,122.73648974668185,2031.6532569360613,97.58908323281052,2129.242340168872,103,38,65,0,15.449999999998994,19.736489746681855,105.098205669476,151.23232810614655,High Stress
18109,19.2305712017905,24.1561125995244,33.5356010058472,257.43813709644945,246.74866427583555,504.186801372285,50,0,50,0,0.0,0.0,0.0,0.0,Elevated
18111,30.2807772768723,0.704204122717962,30.2807772768723,449.54167391821807,6.374900479341549,455.91657439755966,36,36,0,0,0.0,0.0,0.0,0.0,Elevated
18113,13.4067933028078,5.21846701343471,17.09790411718851,272.8452143365732,31.39565520277791,304.2408695393511,50,0,50,0,0.0,0.0,0.0,0.0,Typical/Other
18115,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,No Supply
18117,5.00644398011333,3.02628330141179,7.285496836732079,41.43392816377367,22.45427486603064,63.88820302980431,8,8,0,0,0.0,0.0,0.0,0.0,Typical/Other
18119,0.0,5.00647064288745,5.00647064288745,0.0,34.82112417291868,34.82112417291868,0,0,0,0,0.0,5.00647064288745,0.0,34.82112417291868,No Supply
18121,0.0,1.41628202216767,1.41628202216767,0.0,7.956929906360153,7.956929906360153,0,0,0,0,0.0,1.41628202216767,0.0,7.956929906360153,No Supply
18123,4.58257130608777,2.6186121749073,7.20118348099507,73.83797224771494,27.736615800004888,101.57458804771983,10,10,0,0,0.0,0.0,0.0,0.0,Typical/Other
18125,0.0,2.52690802881282,2.52690802881282,0.0,22.538389353765993,22.538389353765993,0,0,0,0,0.0,2.52690802881282,0.0,22.538389353765993,No Supply
18127,418.599999999999,10.8671165449348,425.2133216894242,7158.206224198145,139.11238488408995,7297.318609082235,364,32,112,220,54.599999999999,61.21332168942422,352.719641155917,399.3119879326714,High Stress
18129,8.42369864749629,17.7225867648623,22.3173314816784,161.91005192590265,210.92066223860806,372.8307141645107,12,12,0,0,0.0,10.317331481678401,0.0,102.31631445441016,Elevated
18131,3.19926949954283,0.299931515582141,3.19926949954283,45.6395789544157,1.8995662653535577,47.53914521976925,25,25,0,0,0.0,0.0,0.0,0.0,Typical/Other
18133,52.3758554436933,13.0146065041904,62.501854162807305,819.094893253977,164.11101372357237,983.2059069775494,100,10,90,0,0.0,0.0,0.0,0.0,Typical/Other
18135,4.06716722358561,7.32090100245411,10.28179874122444,71.90751651299361,50.0098881812087,121.91740469420232,30,30,0,0,0.0,0.0,0.0,0.0,Typical/Other
18137,46.0,6.9890430971512,50.23374726077428,752.9349890430962,70.19284149013866,823.1278305332348,40,40,0,0,6.0,10.23374726077428,35.7545653761867,73.08984660335966,Elevated
18139,0.0,1.90994880556944,1.90994880556944,0.0,17.189539250124977,17.189539250124977,0,0,0,0,0.0,1.90994880556944,0.0,17.189539250124977,No Supply
18141,78.2,30.6336437718277,88.44155995343421,1496.587776484283,399.0111757857964,1895.5989522700795,68,18,50,0,10.200000000000003,20.441559953434208,71.5068684516876,264.36880093131356,High Stress
18143,2.98199412297912,2.81105178471917,4.76739187813859,47.12310458032608,37.74026956916884,84.86337414949492,20,20,0,0,0.0,0.0,0.0,0.0,Typical/Other
18145,116.149999999999,21.506219081272,129.4066961130736,2382.7987809187207,227.21074204946936,2610.00952296819,101,31,70,0,15.149999999998997,28.406696113073593,108.90869257949902,280.6408127208408,High Stress
18147,30.9816964349046,15.1863099169781,46.168006351882696,592.8751633630961,188.40769522668057,781.2828585897767,40,40,0,0,0.0,6.1680063518826955,0.0,30.543886399123892,Elevated
18149,49.3922885508887,1.35838226725133,49.50548707315964,693.64281163559,7.206972584583451,700.8497842201734,65,15,50,0,0.0,0.0,0.0,0.0,Elevated
18151,427.8,54.1113041408852,473.4611851499286,7771.106116135163,870.1077344121835,8641.213850547347,372,72,60,240,55.80000000000001,101.46118514992861,332.230437886717,781.5297715373581,High Stress
18153,27.6087542946215,1.37064737632873,27.6087542946215,413.25018396311174,6.75533349762016,420.00551746073194,42,42,0,0,0.0,0.0,0.0,0.0,Typical/Other
18155,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,No Supply
18157,105.799999999999,19.632253711201,123.1834682860988,2081.2330634277964,274.1019568151139,2355.33502024291,92,28,64,0,13.799999999999002,31.1834682860988,97.25802968960562,269.19466936571814,High Stress
18159,0.0,1.08086518099373,1.08086518099373,0.0,5.087975120287577,5.087975120287577,0,0,0,0,0.0,1.08086518099373,0.0,5.087975120287577,No Supply
18161,0.0,0.480165332388352,0.480165332388352,0.0,1.6805786633592321,1.6805786633592321,0,0,0,0,0.0,0.480165332388352,0.0,1.6805786633592321,No Supply
18163,13.8057942921952,30.3727474428295,44.1785417350247,236.3611362584216,429.9391551511375,666.3002914095591,40,40,0,0,0.0,4.178541735024702,0.0,5.9225132937913045,Elevated
18165,92.5282671802131,3.61842385620945,95.3116701465281,1526.656764124238,37.01925945198895,1563.676023576227,129,129,0,0,0.0,0.0,0.0,0.0,Elevated
18167,33.6198379057378,13.3315268199999,40.188594363825096,592.7679087304331,118.48706269334637,711.2549714237795,50,50,0,0,0.0,0.0,0.0,0.0,Typical/Other
18169,1.48757512325357,4.8684276761026,5.81506639090033,25.626862350595626,22.448860950917556,48.07572330151318,15,15,0,0,0.0,0.0,0.0,0.0,Typical/Other
18171,0.0,3.279457184879,3.279457184879,0.0,45.16905695973337,45.16905695973337,0,0,0,0,0.0,3.279457184879,0.0,45.16905695973337,No Supply
18173,0.0,12.1827631710339,12.1827631710339,0.0,166.3194120748251,166.3194120748251,0,0,0,0,0.0,12.1827631710339,0.0,166.3194120748251,No Supply
18175,0.0,2.53051454442483,2.53051454442483,0.0,16.43052401380065,16.43052401380065,0,0,0,0,0.0,2.53051454442483,0.0,16.43052401380065,No Supply
18177,415.15,23.5028067025733,424.64056253740273,7002.792932375811,237.1646858168755,7239.957618192687,361,0,75,286,54.14999999999998,63.64056253740273,318.07102932375506,389.5624236983801,High Stress
18179,0.0,8.42529708736926,8.42529708736926,0.0,43.698369221803226,43.698369221803226,0,0,0,0,0.0,8.42529708736926,0.0,43.698369221803226,No Supply
18181,0.0,26.2408398969701,26.2408398969701,0.0,354.87022634251565,354.87022634251565,0,0,0,0,0.0,26.2408398969701,0.0,354.87022634251565,Elevated
18183,0.0,2.88454642220017,2.88454642220017,0.0,19.66484051288384,19.66484051288384,0,0,0,0,0.0,2.88454642220017,0.0,19.66484051288384,No Supply
